team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
HOU,Chris Conley,Cover 0,1.3,6,1,8.3,6.0,1.3833333333333335,2,65,0.03076923076923077
HOU,Chris Conley,Cover 1,20.0,0,16,36.00000000000001,80.0,0.45000000000000007,28,65,0.4307692307692308
HOU,Chris Conley,Cover 2,8.000000000000002,0,5,13.000000000000002,44.0,0.29545454545454547,5,65,0.07692307692307693
HOU,Chris Conley,Cover 3,6.9,0,9,15.899999999999999,79.0,0.20126582278481012,15,65,0.23076923076923078
HOU,Chris Conley,Cover 4,3.3,0,3,6.3,42.0,0.15,6,65,0.09230769230769231
HOU,Chris Conley,Cover 6,3.4,0,3,6.4,11.0,0.5818181818181819,3,65,0.046153846153846156
HOU,Chris Conley,Man Cover 2,2.8000000000000003,6,1,9.8,13.0,0.7538461538461539,3,65,0.046153846153846156
HOU,Chris Conley,Screen,2.7,0,3,5.699999999999999,24.0,0.23749999999999996,3,65,0.046153846153846156
TB,Chris Godwin,Cover 0,0.6000000000000001,0,1,1.6,15.0,0.10666666666666667,3,117,0.02564102564102564
TB,Chris Godwin,Cover 1,26.4,12,17,55.400000000000006,113.0,0.4902654867256638,25,117,0.21367521367521367
TB,Chris Godwin,Cover 2,12.1,0,15,27.1,46.0,0.5891304347826087,16,117,0.13675213675213677
TB,Chris Godwin,Cover 3,28.5,24,13,65.5,90.0,0.7277777777777777,24,117,0.20512820512820512
TB,Chris Godwin,Cover 4,15.5,18,9,42.50000000000001,49.0,0.8673469387755104,12,117,0.10256410256410256
TB,Chris Godwin,Man Cover 2,11.799999999999999,0,10,21.800000000000004,47.0,0.46382978723404267,18,117,0.15384615384615385
TB,Chris Godwin,Prevent,1.4000000000000001,0,1,2.4000000000000004,13.0,0.18461538461538465,1,117,0.008547008547008548
TB,Chris Godwin,Screen,13.9,0,17,30.900000000000002,34.0,0.9088235294117648,18,117,0.15384615384615385
JAX,Chris Manhertz,Cover 2,2.5,0,2,4.5,13.0,0.34615384615384615,2,2,1.0
ARI,Christian Blake,Cover 6,1.9000000000000001,0,1,2.9000000000000004,6.0,0.4833333333333334,1,5,0.2
ARI,Christian Blake,Man Cover 2,2.8,0,2,4.8,17.0,0.2823529411764706,3,5,0.6
ARI,Christian Blake,Prevent,0.0,0,0,0.0,9.0,0.0,1,5,0.2
