,team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1722,LAR,Van Jefferson,Other,0.0,0,0,0.0,1.0,0.0
1723,LAR,Van Jefferson,Screen,3.8000000000000003,0,6,9.799999999999999,9.0,1.0888888888888888
1725,SEA,Will Dissly,Cover 2,2.5,0,3,5.5,20.0,0.275
1726,SEA,Will Dissly,Cover 4,3.8000000000000007,0,5,8.8,40.0,0.22000000000000003
1727,SEA,Will Dissly,Cover 6,2.1,0,1,3.1,5.0,0.62
1730,ARI,Zach Ertz,Combination,2.9000000000000004,0,2,4.9,1.0,4.9
1731,ARI,Zach Ertz,Cover 0,0.0,0,0,0.0,12.0,0.0
1732,ARI,Zach Ertz,Cover 2,6.9,0,7,13.9,76.0,0.18289473684210528
1733,ARI,Zach Ertz,Cover 4,15.4,0,15,30.400000000000002,68.0,0.4470588235294118
1734,ARI,Zach Ertz,Cover 6,5.1000000000000005,0,4,9.100000000000001,25.0,0.36400000000000005
1735,ARI,Zach Ertz,Man Cover 2,2.5,0,2,4.5,14.0,0.32142857142857145
1737,ARI,Zach Ertz,Other,0.0,0,0,0.0,2.0,0.0
1738,ARI,Zach Ertz,Screen,6.700000000000001,6,11,23.699999999999996,26.0,0.9115384615384614
1740,PIT,Zach Gentry,Cover 0,0.5,0,1,1.5,6.0,0.25
1741,PIT,Zach Gentry,Cover 2,4.800000000000001,0,7,11.8,25.0,0.47200000000000003
1743,PIT,Zach Gentry,Cover 6,1.2000000000000002,0,2,3.2,5.0,0.64
1744,PIT,Zach Gentry,Man Cover 2,1.6,0,2,3.6,13.0,0.27692307692307694
1746,PIT,Zach Gentry,Screen,3.0,0,5,8.0,7.0,1.1428571428571428
1748,PHI,Zach Pascal,Cover 0,1.7000000000000002,6,2,9.7,6.0,1.6166666666666665
1749,PHI,Zach Pascal,Cover 2,2.4000000000000004,0,4,6.3999999999999995,53.0,0.12075471698113206
1750,PHI,Zach Pascal,Cover 4,2.7,0,3,5.7,74.0,0.07702702702702703
1751,PHI,Zach Pascal,Cover 6,4.9,0,5,9.9,18.0,0.55
1752,PHI,Zach Pascal,Man Cover 2,0.0,0,0,0.0,15.0,0.0
1753,PHI,Zach Pascal,Other,1.5,0,1,2.5,1.0,2.5
1754,PHI,Zach Pascal,Prevent,0.5,0,1,1.5,6.0,0.25
1755,PHI,Zach Pascal,Screen,0.6,0,6,6.6000000000000005,25.0,0.264
1756,BUF,Zack Moss,Cover 2,2.0,0,2,4.0,17.0,0.23529411764705882
1759,BUF,Zack Moss,Screen,4.8,0,7,11.8,11.0,1.0727272727272728
1761,JAX,Zay Jones,Cover 0,3.1,6,1,10.1,8.0,1.2625
1762,JAX,Zay Jones,Cover 2,1.8000000000000003,0,3,4.8,43.0,0.11162790697674418
1763,JAX,Zay Jones,Cover 4,12.6,6,14,32.599999999999994,73.0,0.44657534246575337
1764,JAX,Zay Jones,Cover 6,0.0,0,0,0.0,6.0,0.0
1765,JAX,Zay Jones,Man Cover 2,0.0,0,0,0.0,27.0,0.0
1767,JAX,Zay Jones,Other,0.0,0,0,0.0,1.0,0.0
1768,JAX,Zay Jones,Prevent,0.0,0,0,0.0,3.0,0.0
