,team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
253,ATL,Damien Williams,Other,3.7000000000000006,0,8,11.7,13.0,0.8999999999999999
254,ATL,Damien Williams,Zone,5.7,6,6,17.700000000000003,3.0,5.900000000000001
255,ATL,Damiere Byrd,Man,9.9,6,6,21.9,69.0,0.3173913043478261
256,ATL,Damiere Byrd,Other,4.7,0,5,9.7,28.0,0.3464285714285714
257,ATL,Damiere Byrd,Zone,18.3,0,15,33.30000000000001,187.0,0.17807486631016048
258,JAX,Dan Arnold,Man,9.700000000000001,0,9,18.7,109.0,0.17155963302752292
259,JAX,Dan Arnold,Other,9.100000000000001,0,7,16.1,17.0,0.9470588235294118
260,JAX,Dan Arnold,Other,9.100000000000001,0,7,16.1,3.0,5.366666666666667
261,JAX,Dan Arnold,Other,9.100000000000001,0,7,16.1,1.0,16.1
262,JAX,Dan Arnold,Zone,24.1,0,20,44.099999999999994,103.0,0.4281553398058252
264,IND,Danny Pinter,Other,0.2,6,1,7.2,1.0,7.2
266,CHI,Dante Pettis,Other,0.09999999999999998,6,2,8.1,1.0,8.1
267,CHI,Dante Pettis,Zone,4.800000000000001,0,5,9.799999999999999,8.0,1.2249999999999999
268,NYG,Darius Slayton,Man,15.9,6,8,29.9,151.0,0.19801324503311257
269,NYG,Darius Slayton,Other,5.700000000000001,0,5,10.700000000000001,7.0,1.5285714285714287
270,NYG,Darius Slayton,Zone,13.299999999999997,6,14,33.3,149.0,0.22348993288590602
271,CHI,Darnell Mooney,Man,32.199999999999996,0,21,53.2,201.0,0.2646766169154229
272,CHI,Darnell Mooney,Other,17.700000000000003,18,23,58.69999999999999,68.0,0.8632352941176469
273,CHI,Darnell Mooney,Zone,56.6,6,39,101.59999999999998,301.0,0.3375415282392026
274,ARI,Darrel Williams,Man,10.7,6,13,29.700000000000003,114.0,0.2605263157894737
275,ARI,Darrel Williams,Other,11.400000000000002,0,13,24.400000000000002,26.0,0.9384615384615386
276,ARI,Darrel Williams,Zone,23.900000000000002,6,22,51.89999999999999,131.0,0.3961832061068702
277,LV,Darren Waller,Man,42.599999999999994,6,27,75.6,163.0,0.4638036809815951
278,LV,Darren Waller,Other,4.4,6,11,21.4,16.0,1.3375
279,LV,Darren Waller,Zone,30.300000000000004,0,26,56.300000000000004,174.0,0.3235632183908046
282,LV,Davante Adams,Man,69.2,18,46,133.20000000000002,237.0,0.5620253164556963
283,LV,Davante Adams,Other,29.600000000000005,42,41,112.6,86.0,1.3093023255813954
284,LV,Davante Adams,Zone,67.8,6,48,121.79999999999998,202.0,0.6029702970297028
285,CHI,David Montgomery,Man,7.400000000000001,0,10,17.400000000000002,47.0,0.37021276595744684
286,CHI,David Montgomery,Other,6.600000000000001,0,10,16.6,33.0,0.503030303030303
287,CHI,David Montgomery,Zone,21.200000000000003,0,25,46.2,112.0,0.41250000000000003
290,CLE,David Njoku,Man,13.3,6,14,33.3,129.0,0.25813953488372093
291,CLE,David Njoku,Other,8.600000000000001,6,8,22.6,35.0,0.6457142857142858
292,CLE,David Njoku,Zone,27.200000000000006,12,16,55.199999999999996,41.0,1.346341463414634
296,BUF,Dawson Knox,Man,33.699999999999996,30,23,86.7,187.0,0.4636363636363636
297,BUF,Dawson Knox,Other,9.200000000000001,24,14,47.2,34.0,1.3882352941176472
