,team,playerName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
121,PIT,Mason Rudolph,Man,25,6.280000000000002,0,0,6.280000000000002,0.2512000000000001,25,52,0.4807692307692308
122,PIT,Mason Rudolph,Other,8,0.43999999999999995,0,0,0.43999999999999995,0.05499999999999999,8,52,0.15384615384615385
123,PIT,Mason Rudolph,Zone,19,3.48,4,-1,6.480000000000002,0.3410526315789475,19,52,0.36538461538461536
124,IND,Matt Ryan,Man,208,58.48,24,-7,75.47999999999998,0.36288461538461525,208,569,0.3655536028119508
125,IND,Matt Ryan,Other,70,11.200000000000003,36,0,47.2,0.6742857142857144,70,569,0.12302284710017575
126,IND,Matt Ryan,Zone,291,80.39999999999999,12,-5,87.39999999999998,0.3003436426116838,291,569,0.5114235500878734
127,LAR,Matthew Stafford,Man,233,83.71999999999996,72,-4,151.72000000000006,0.6511587982832621,233,656,0.3551829268292683
128,LAR,Matthew Stafford,Other,99,22.39999999999999,48,-4,66.39999999999999,0.6707070707070706,99,656,0.15091463414634146
129,LAR,Matthew Stafford,Zone,324,98.27999999999994,32,-12,118.27999999999992,0.36506172839506146,324,656,0.49390243902439024
130,NYJ,Mike White,Man,46,8.48,4,-2,10.479999999999999,0.2278260869565217,46,126,0.36507936507936506
131,NYJ,Mike White,Other,11,3.6399999999999997,0,-1,2.6399999999999997,0.23999999999999996,11,126,0.0873015873015873
132,NYJ,Mike White,Zone,69,20.400000000000002,12,-4,28.4,0.4115942028985507,69,126,0.5476190476190477
133,IND,Nick Foles,Man,8,2.88,0,0,2.88,0.36,8,36,0.2222222222222222
134,IND,Nick Foles,Other,10,1.12,4,0,5.119999999999999,0.5119999999999999,10,36,0.2777777777777778
135,IND,Nick Foles,Zone,18,3.8400000000000003,0,0,3.8400000000000003,0.21333333333333335,18,36,0.5
136,LV,Nick Mullens,Man,11,2.24,4,0,6.24,0.5672727272727273,11,23,0.4782608695652174
137,LV,Nick Mullens,Other,1,0.12,0,0,0.12,0.12,1,23,0.043478260869565216
138,LV,Nick Mullens,Zone,11,2.12,0,0,2.12,0.19272727272727275,11,23,0.4782608695652174
139,KC,Patrick Mahomes,Man,274,83.11999999999996,28,-4,107.11999999999999,0.39094890510948904,274,667,0.4107946026986507
140,KC,Patrick Mahomes,Other,106,28.479999999999993,76,0,104.48,0.9856603773584907,106,667,0.15892053973013492
141,KC,Patrick Mahomes,Zone,287,84.91999999999997,44,-9,119.91999999999997,0.4178397212543553,287,667,0.4302848575712144
142,DEN,Russell Wilson,Man,115,36.92,36,-2,70.91999999999999,0.616695652173913,115,375,0.30666666666666664
143,DEN,Russell Wilson,Other,63,18.999999999999993,24,0,42.99999999999999,0.6825396825396824,63,375,0.168
144,DEN,Russell Wilson,Zone,197,55.27999999999997,32,-4,83.27999999999999,0.42274111675126896,197,375,0.5253333333333333
145,TEN,Ryan Tannehill,Man,232,58.64,32,-9,81.64,0.3518965517241379,232,538,0.4312267657992565
146,TEN,Ryan Tannehill,Other,71,10.279999999999998,44,0,54.279999999999994,0.7645070422535211,71,538,0.13197026022304834
147,TEN,Ryan Tannehill,Zone,235,66.99999999999999,4,-8,62.999999999999986,0.26808510638297867,235,538,0.4368029739776952
148,CAR,Sam Darnold,Man,171,37.59999999999999,8,-6,39.599999999999994,0.23157894736842102,171,380,0.45
149,CAR,Sam Darnold,Other,48,9.08,12,-1,20.080000000000002,0.4183333333333334,48,380,0.12631578947368421
150,CAR,Sam Darnold,Zone,161,37.27999999999999,8,-5,40.279999999999994,0.25018633540372665,161,380,0.4236842105263158
151,MIN,Sean Mannion,Man,14,2.6799999999999997,0,0,2.6799999999999997,0.19142857142857142,14,34,0.4117647058823529
152,MIN,Sean Mannion,Other,3,0.56,4,0,4.5600000000000005,1.5200000000000002,3,34,0.08823529411764706
153,MIN,Sean Mannion,Zone,17,3.5999999999999996,0,0,3.5999999999999996,0.2117647058823529,17,34,0.5
154,WAS,Taylor Heinicke,Man,187,46.52000000000002,24,-5,65.52000000000002,0.3503743315508023,187,473,0.3953488372093023
155,WAS,Taylor Heinicke,Other,65,10.520000000000003,24,-3,31.519999999999992,0.4849230769230768,65,473,0.13742071881606766
156,WAS,Taylor Heinicke,Zone,221,60.67999999999999,20,-9,71.67999999999999,0.3243438914027149,221,473,0.46723044397463004
157,NO,Taysom Hill,Man,38,10.120000000000003,8,-1,17.12,0.4505263157894737,38,114,0.3333333333333333
158,NO,Taysom Hill,Other,14,2.7199999999999998,0,0,2.7199999999999998,0.19428571428571426,14,114,0.12280701754385964
159,NO,Taysom Hill,Zone,62,15.96,4,-4,15.96,0.2574193548387097,62,114,0.543859649122807
160,MIA,Teddy Bridgewater,Man,177,49.160000000000025,28,-2,75.16000000000004,0.42463276836158215,177,406,0.43596059113300495
161,MIA,Teddy Bridgewater,Other,47,11.72,8,-1,18.72,0.3982978723404255,47,406,0.11576354679802955
162,MIA,Teddy Bridgewater,Zone,182,50.47999999999997,12,-5,57.47999999999996,0.3158241758241756,182,406,0.4482758620689655
163,DET,Tim Boyle,Man,25,7.319999999999999,4,-3,8.32,0.3328,25,79,0.31645569620253167
164,DET,Tim Boyle,Other,10,1.5199999999999998,0,0,1.5199999999999998,0.15199999999999997,10,79,0.12658227848101267
165,DET,Tim Boyle,Zone,44,10.44,8,-3,15.440000000000001,0.35090909090909095,44,79,0.5569620253164557
166,TB,Tom Brady,Man,358,102.92000000000004,68,-5,165.91999999999996,0.46346368715083786,358,806,0.4441687344913151
167,TB,Tom Brady,Other,140,30.559999999999995,60,-1,89.56000000000003,0.6397142857142859,140,806,0.17369727047146402
168,TB,Tom Brady,Zone,308,94.91999999999996,28,-4,118.91999999999993,0.3861038961038959,308,806,0.38213399503722084
169,JAX,Trevor Lawrence,Man,249,49.51999999999999,12,-8,53.52000000000001,0.21493975903614462,249,554,0.44945848375451264
170,JAX,Trevor Lawrence,Other,64,11.16,20,-4,27.160000000000004,0.42437500000000006,64,554,0.11552346570397112
171,JAX,Trevor Lawrence,Zone,241,60.24,8,-5,63.24,0.2624066390041494,241,554,0.43501805054151627
172,CHI,Trevor Siemian,Man,75,17.16,20,0,37.16,0.4954666666666666,75,188,0.39893617021276595
173,CHI,Trevor Siemian,Other,28,4.120000000000001,16,-1,19.119999999999997,0.6828571428571427,28,188,0.14893617021276595
174,CHI,Trevor Siemian,Zone,85,23.119999999999997,8,-3,28.12,0.33082352941176474,85,188,0.4521276595744681
175,SF,Trey Lance,Man,25,4.16,0,0,4.16,0.1664,25,68,0.36764705882352944
176,SF,Trey Lance,Other,14,2.8000000000000003,8,-1,9.8,0.7000000000000001,14,68,0.20588235294117646
177,SF,Trey Lance,Zone,29,14.080000000000002,4,-1,17.080000000000002,0.5889655172413794,29,68,0.4264705882352941
178,MIA,Tua Tagovailoa,Man,147,33.160000000000004,8,-5,36.16000000000001,0.2459863945578232,147,319,0.4608150470219436
179,MIA,Tua Tagovailoa,Other,46,10.200000000000001,20,-1,29.199999999999996,0.6347826086956521,46,319,0.14420062695924765
180,MIA,Tua Tagovailoa,Zone,126,36.07999999999999,8,-2,42.07999999999999,0.3339682539682539,126,319,0.3949843260188088
181,BAL,Tyler Huntley,Man,64,17.55999999999999,4,0,21.560000000000006,0.3368750000000001,64,200,0.32
182,BAL,Tyler Huntley,Other,30,6.600000000000002,8,0,14.599999999999998,0.4866666666666666,30,200,0.15
183,BAL,Tyler Huntley,Zone,106,16.319999999999993,0,-3,13.319999999999993,0.1256603773584905,106,200,0.53
184,NYG,Tyrod Taylor,Man,56,15.560000000000004,12,-2,25.56,0.4564285714285714,56,136,0.4117647058823529
185,NYG,Tyrod Taylor,Other,25,4.240000000000001,4,0,8.24,0.3296,25,136,0.18382352941176472
186,NYG,Tyrod Taylor,Zone,55,13.079999999999998,4,-1,16.08,0.2923636363636363,55,136,0.40441176470588236
187,NYJ,Zach Wilson,Man,168,36.559999999999995,12,-5,43.559999999999995,0.25928571428571423,168,373,0.450402144772118
188,NYJ,Zach Wilson,Other,51,10.319999999999997,4,0,14.319999999999997,0.2807843137254901,51,373,0.13672922252010725
189,NYJ,Zach Wilson,Zone,154,35.08,12,-5,42.08000000000001,0.27324675324675335,154,373,0.4128686327077748
