team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
LAR,Cooper Kupp,50.0,5 Step,69.20000000000002,30,39,138.20000000000002,50.0,2.7640000000000002,60,202,0.297029702970297
LAR,Cooper Kupp,18.0,7 Step,39.300000000000004,6,14,59.30000000000001,18.0,3.294444444444445,22,202,0.10891089108910891
ATL,Cordarrelle Patterson,19.0,0/1 Step,9.399999999999999,0,14,23.400000000000002,19.0,1.231578947368421,19,58,0.3275862068965517
ATL,Cordarrelle Patterson,21.0,3 Step,27.000000000000004,18,16,61.0,21.0,2.9047619047619047,21,58,0.3620689655172414
ATL,Cordarrelle Patterson,15.0,5 Step,12.1,12,12,36.1,15.0,2.4066666666666667,16,58,0.27586206896551724
ATL,Cordarrelle Patterson,2.0,7 Step,0.5000000000000001,0,2,2.5,2.0,1.25,2,58,0.034482758620689655
NYJ,Corey Davis,24.0,3 Step,16.8,0,15,31.8,24.0,1.325,24,52,0.46153846153846156
NYJ,Corey Davis,16.0,5 Step,13.600000000000001,12,8,33.6,16.0,2.1,17,52,0.3269230769230769
NYJ,Corey Davis,10.0,7 Step,9.0,0,4,13.0,10.0,1.3,11,52,0.21153846153846154
DEN,Courtland Sutton,26.0,0/1 Step,12.8,0,17,29.8,26.0,1.146153846153846,26,104,0.25
DEN,Courtland Sutton,36.0,3 Step,24.899999999999995,6,21,51.9,36.0,1.4416666666666667,39,104,0.375
DEN,Courtland Sutton,25.0,5 Step,22.500000000000004,6,12,40.50000000000001,25.0,1.6200000000000003,26,104,0.25
DEN,Courtland Sutton,13.0,7 Step,13.8,0,4,17.8,13.0,1.3692307692307693,13,104,0.125
DET,D'Andre Swift,9.0,0/1 Step,2.8,0,9,11.8,9.0,1.3111111111111111,10,67,0.14925373134328357
DET,D'Andre Swift,40.0,3 Step,19.500000000000007,0,31,50.50000000000001,40.0,1.2625000000000002,42,67,0.6268656716417911
DET,D'Andre Swift,9.0,5 Step,5.8,0,7,12.799999999999999,9.0,1.422222222222222,9,67,0.13432835820895522
DET,D'Andre Swift,6.0,7 Step,1.7000000000000002,0,4,5.699999999999999,6.0,0.9499999999999998,6,67,0.08955223880597014
